Keyword,Source,Author,Title,URL,Text
immigration,Lifehacker.com,Mike Winters,How to Spot the Most Common COVID-Related Scams,https://lifehacker.com/how-to-spot-the-most-common-covid-related-scams-1845287251,"Part of the new normal of the pandemic is the uptick in COVID-related scams. More than 200,000 Americans have lost a sum total of around $145 million to them since the start of the year, according to… [+3044 chars]"
immigration,Wired,WIRED Staff,One Free Press Coalition Spotlights Journalists Under Attack - October 2020,https://www.wired.com/story/one-free-press-coalition-spotlights-journalists-under-attack-october-2020/,"In May 2019, WIRED joined the One Free Press Coalition, a united group of preeminent editors and publishers using their global reach and social platforms to spotlight journalists under attack worldwi… [+2932 chars]"
immigration,TechCrunch,Walter Thompson,Dear Sophie: What is a J-1 visa and how can we use it?,http://techcrunch.com/2020/09/09/dear-sophie-what-is-a-j-1-visa-and-how-can-we-use-it/,"More posts by this contributor
Here’s another edition of Dear Sophie, the advice column that answers immigration-related questions about working at technology companies.
Your questions are vital to… [+1365 chars]"
immigration,TechCrunch,Walter Thompson,"Dear Sophie: Now that a judge has paused Trump’s H-1B visa ban, how can I qualify my employees?",http://techcrunch.com/2020/10/05/dear-sophie-now-that-a-judge-has-paused-trumps-h-1b-visa-ban-how-can-i-qualify-my-employees/,"More posts by this contributor
On Thursday, October 1, a federal judge issued a temporary injunction that halted a presidential proclamation issued in June suspending the issuance of visas for some … [+6698 chars]"
immigration,TechCrunch,Walter Thompson,Dear Sophie: Possible to still get through I-751 and citizenship after divorce?,http://techcrunch.com/2020/09/23/dear-sophie-possible-to-still-get-through-i-751-citizenship-after-divorce/,"More posts by this contributor
Here’s another edition of “Dear Sophie,” the advice column that answers immigration-related questions about working at technology companies.
“Your questions are vital… [+2763 chars]"
immigration,TechCrunch,Walter Thompson,Dear Sophie: Is it easier and faster to get an O-1A than an EB-1A?,http://techcrunch.com/2020/10/07/dear-sophie-is-it-easier-and-faster-to-get-an-o-1a-than-an-eb-1a/,"More posts by this contributor
Here’s another edition of Dear Sophie, the advice column that answers immigration-related questions about working at technology companies.
Your questions are vital to… [+7051 chars]"
immigration,TechCrunch,Anthony Ha,Daily Crunch: Facebook unveils the Oculus Quest 2,http://techcrunch.com/2020/09/16/daily-crunch-oculus-quest/,"Facebook makes its next steps in VR, Apple releases iOS 14 and the PlayStation 5 gets a launch date. This is your Daily Crunch for September 16, 2020.
The big story: Facebook unveils the Oculus Ques… [+3449 chars]"
immigration,TechCrunch,Taylor Hatmaker,AOC flagged ‘material risks’ to Palantir investors in letter to SEC,http://techcrunch.com/2020/09/30/aoc-palantir-letter/,"In a newly released letter, New York Rep. Alexandria Ocasio-Cortez issued words of warning to the SEC over Palantir’s efforts to take the company public, cautioning the regulatory body over details t… [+3796 chars]"
immigration,TechCrunch,Anthony Ha,Daily Crunch: Shopify confirms data breach,http://techcrunch.com/2020/09/23/daily-crunch-data-breach/,"Shopify blames “rogue” employees for a data breach, Google Maps adds COVID-19 data and China pushes back against the TikTok deal. This is your Daily Crunch for September 23, 2020.
The big story: Sho… [+3511 chars]"
immigration,Gizmodo.com,Matt Novak,Pentagon Official Warns About Chinese Drones Without Explaining Specific Security Risks (Again),https://gizmodo.com/pentagon-official-warns-about-chinese-drones-without-ex-1845022250,"Ellen Lord, the top official at the Pentagon in charge of acquiring new technology, appeared on a virtual panel Thursday to discuss the threat posed to the U.S. by small drones made by Chinese compan… [+5838 chars]"
immigration,Gizmodo.com,Shoshana Wodinsky,Google to Journalists: Shut Up and Take the Money,https://gizmodo.com/google-to-journalists-shut-up-and-take-the-money-1845239982,"After spending the better part of the last decade choking every possible cent from the digital media industry, Googles finally getting the heat that it deserves. More and more people are realizing th… [+6031 chars]"
immigration,Gizmodo.com,"Yessenia Funes and Dhruv Mehrotra on Earther, shared by Andrew Couts to Gizmodo","CBP Drones Conducted Flyovers Near Homes of Indigenous Pipeline Activists, Flight Records Show",https://earther.gizmodo.com/cbp-drones-conducted-flyovers-near-homes-of-indigenous-1845104576,"Thomas Goldtooth awoke on Feb. 21 expecting a pretty regular day ahead. And by all accounts, his day was normal. He was on the road by 11 a.m. to catch a flight. But unbeknownst to him, around the sa… [+14797 chars]"
immigration,Gizmodo.com,Tom McKay,Whistleblower: DHS Goons Whitewashed Intel to Downplay White Supremacist Threat,https://gizmodo.com/whistleblower-dhs-goons-whitewashed-intel-to-downplay-1845006934,"Its not exactly a secret that Donald Trumps race-baiting, fascistic administration has turned a blind eye to violence committed by extreme far-righters. Trump said there were very fine people among t… [+7989 chars]"
immigration,Gizmodo.com,Matt Novak,U.S. Concentration Camp Sent Undocumented Women to Be Sterilized According to Whistleblower,https://gizmodo.com/u-s-concentration-camp-sent-undocumented-women-to-be-s-1845059997,Why are the terms Nazi Germany and Mengele become trending topics on Twitter? The words dominated the social media platform on Monday after it was revealed that a whistleblower has alleged high numbe… [+9025 chars]
immigration,New York Times,,Inside Trump’s Immigration Crackdown,https://www.nytimes.com/2020/09/14/podcasts/the-daily/trump-immigration-nation.html,"Listen and subscribe to our podcast from your mobile device:Via Apple Podcasts | Via Spotify | Via Stitcher
This episode contains strong language.
After Donald Trump was elected president, the film… [+1249 chars]"
immigration,New York Times,Miriam Jordan,Judge Blocks Trump’s Ban on Foreign Workers,https://www.nytimes.com/2020/10/01/us/foreign-workers-visas-h-1b-trump.html,"Still, it immediately sets aside the visa ban for the plaintiffs who brought the case. They include the U.S. Chamber of Commerce, the National Association of Manufacturers, the National Retail Federa… [+1530 chars]"
immigration,New York Times,Remy Tumin and Judith Levitt,"Amy Coney Barrett, Election Day, French Open: Your Weekend Briefing",https://www.nytimes.com/2020/09/27/briefing/amy-coney-barrett-election-day-french-open-your-weekend-briefing.html,"In choosing Judge Barrett to replace Justice Ruth Bader Ginsburg, the president opted for the candidate most likely to thrill his conservative base and outrage liberal opponents.
Judge Barretts vote… [+736 chars]"
immigration,New York Times,David Leonhardt,The V.P. Debate,https://www.nytimes.com/2020/10/08/briefing/mike-pence-kamala-harris-nobel-prize-in-literature-your-thursday-briefing.html,"Mike Pence and Kamala Harris are both skilled debaters. And their debate last night was far easier to watch than last weeks presidential debate.
But there was also a problem with the vice-presidenti… [+669 chars]"
immigration,New York Times,Thomas Kaplan and Michael D. Shear,Biden and Trump Will Debate Six Main Issues. Here’s Where They Stand.,https://www.nytimes.com/2020/09/29/us/politics/biden-on-the-issues-trump-on-the-issues-debate.html,"Mr. Trump has attacked Mr. Biden as anti-law enforcement, often in exaggerated terms though at times the president has also tried to cast him as overly punitive because of his work on the 1994 crime … [+1651 chars]"
immigration,New York Times,Jia Lynn Yang,"Overlooked No More: Mabel Ping-Hua Lee, Suffragist With a Distinction",https://www.nytimes.com/2020/09/19/obituaries/mabel-ping-hua-lee-overlooked.html,"In one article, in 1914, she wrote that giving women the right to vote was nothing more than a wider application of our ideas of justice and equality, and that suffrage was extending democracy to wom… [+1733 chars]"
immigration,New York Times,Emily Flitter and Maddie McGarvey,A Struggling Ohio Town Celebrated Trump’s Win in 2016. What About Now?,https://www.nytimes.com/2020/10/03/us/politics/ohio-election-trump-biden.html,"I also saw how Mr. Trumps appeals to a white, conservative social order resonated in Portsmouth. Kim Hill, a local realtor, voted for Mr. Trump in 2016 and said she believed that he had improved the … [+1501 chars]"
immigration,New York Times,Thomas Kaplan and Michael D. Shear,Here Are 6 Issues Biden and Trump Will Debate Tonight,https://www.nytimes.com/2020/09/29/us/politics/biden-trump-debate-issues.html,"Mr. Trump has attacked Mr. Biden as anti-law enforcement, often in exaggerated terms though at times the president has also tried to cast him as overly punitive because of his work on the 1994 crime … [+1651 chars]"
immigration,New York Times,Laila Lalami,I’m a Muslim and Arab American. Will I Ever Be an Equal Citizen?,https://www.nytimes.com/2020/09/17/magazine/im-a-muslim-and-arab-american-will-i-ever-be-an-equal-citizen.html,"Culturally too, we are usually treated as a separate race, hence our almost universal portrayal as villains or victims in popular media. In books and newspapers, Arabs and Muslims are typically seen … [+4900 chars]"
immigration,New York Times,Lynn Vavreck and Chris Tausanovitch,Americans Mostly Agree on Policing. The Difference Is Priorities.,https://www.nytimes.com/2020/09/21/upshot/americans-mostly-agree-on-policing-the-difference-is-priorities.html,"Americans are more likely to trade away issues relating to taxes, immigration and health care in order to get policies they want on policing; it leads the list for Democrats and Republicans and is on… [+2440 chars]"
immigration,New York Times,"Shane Goldmacher, Katie Glueck and Thomas Kaplan",Biden's Supreme Court Plan: More Talk of Health Care and Coronavirus,https://www.nytimes.com/2020/09/19/us/politics/biden-supreme-court.html,"Mr. Biden who has pledged to nominate a Black woman to the Supreme Court was not expected to move to announce his own list of possible choices before Election Day, as Mr. Trump recently did. In a sta… [+2032 chars]"
immigration,New York Times,Charles M. Blow,Conservatives Try to Lock In Power,https://www.nytimes.com/2020/09/20/opinion/conservatives-supreme-court-2020.html,"Lastly, the percentage of Americans with college degrees keeps rising, moving from 4.6 percent in 1940 to 36 percent in 2019.
Conservatives see all of these trends, and they are alarmed. So, they wa… [+2084 chars]"
